{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      935    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      935    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     3262    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        3    0.000    0.000    0.001    0.000 npydecl.py:189(install_operations)
     3267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     3657    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      203    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
     3657    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        8    0.000    0.000    0.001    0.000 enum.py:1708(convert_class)
      227    0.000    0.000    0.001    0.000 overrides.py:83(verify_matching_signatures)
       67    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
     2269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      447    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      173    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      410    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      265    0.000    0.000    0.012    0.000 __init__.py:280(_compile)
       33    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1649    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
   156/56    0.000    0.000    0.004    0.000 _parser.py:452(_parse_sub)
      446    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  436/121    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
     1722    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      532    0.000    0.000    0.001    0.000 abstract.py:49(_intern)
      313    0.000    0.000    0.002    0.000 function_base.py:502(add_newdoc)
      246    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
       33    0.000    0.000    0.001    0.000 __init__.py:298(__init__)
     1870    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
   473/28    0.000    0.000    0.167    0.006 {built-in method builtins.__import__}
      410    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      935    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      454    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
     1640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       24    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      652    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      178    0.000    0.000    0.004    0.000 extending.py:129(decorate)
        1    0.000    0.000 2682.059 2682.059 backtrack_solver.py:180(optimize)
        1    0.000    0.000    0.001    0.001 executionengine.py:1(<module>)
      459    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      958    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      603    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      935    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      453    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
  411/405    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       28    0.000    0.000    0.000    0.000 ffi.py:10(_make_opaque_ref)
        7    0.000    0.000    0.001    0.000 enum.py:919(_convert_)
      148    0.000    0.000    0.000    0.000 typing.py:1627(__hash__)
     1333    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      357    0.000    0.000    0.007    0.000 ffi.py:134(__getattr__)
  758/386    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
      834    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      839    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1955    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      452    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      424    0.000    0.000    0.000    0.000 templates.py:1250(register_global)
      855    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
  276/208    0.000    0.000    0.006    0.000 typing.py:392(inner)
        8    0.000    0.000    0.001    0.000 typing.py:2800(__new__)
     1070    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.024    0.012 builtins.py:1(<module>)
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1836    0.000    0.000    0.000    0.000 typing.py:1617(<genexpr>)
        1    0.000    0.000    0.000    0.000 problem.py:149(init)
      265    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      410    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       42    0.000    0.000    0.000    0.000 inspect.py:2387(_signature_from_function)
      455    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      455    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
